   2.0000000000000001E-004  -5.9964740793172678E-007   2.3429262281799267E-002   2.8769105810446825E-010   1.4384552905223405E-009
   4.0000000000000002E-004  -2.3466743200254495E-006   2.3828619861927042E-002   9.5076504796128733E-010   4.7538252398064354E-009
   6.0000000000000006E-004  -5.1418321961644777E-006   2.4719471151326812E-002   1.6079937731801939E-009   8.0399688659009859E-009
   8.0000000000000004E-004  -8.8570610046719918E-006   2.6124401158777153E-002   1.7085146631820757E-009   8.5425733159103844E-009
   1.0000000000000000E-003  -1.3347394307139126E-005   2.8055518784334599E-002   5.4633134018025743E-010   2.7316567009013492E-009
   1.2000000000000001E-003  -1.8463581261366871E-005   3.0509947211355887E-002  -2.7231082982339351E-009  -1.3615541491169617E-008
   1.4000000000000000E-003  -2.4064180132352887E-005   3.3466404312091212E-002  -9.0650852162765151E-009  -4.5325426081382648E-008
   1.6000000000000001E-003  -3.0025999764351003E-005   3.6883440239736921E-002  -1.9547273828492158E-008  -9.7736369142460801E-008
   1.8000000000000002E-003  -3.6252001649275698E-005   4.0699654235808118E-002  -3.5321477691658285E-008  -1.7660738845829162E-007
   2.0000000000000000E-003  -4.2676081682340934E-005   4.4835911328261195E-002  -5.7605810497971132E-008  -2.8802905248985559E-007
   2.2000000000000001E-003  -4.9264482487228360E-005   4.9199275175580398E-002  -8.7667479626594360E-008  -4.3833739813297160E-007
   2.4000000000000002E-003  -5.6013907632324435E-005   5.3688126148874513E-002  -1.2680613499374232E-007  -6.3403067496871207E-007
   2.6000000000000003E-003  -6.2946692098762025E-005   5.8197792309366135E-002  -1.7633760222032652E-007  -8.8168801110163282E-007
   2.8000000000000000E-003  -7.0103610843060774E-005   6.2626005196736320E-002  -2.3757774415754996E-007  -1.1878887207877504E-006
   3.0000000000000001E-003  -7.7535065681455401E-005   6.6877590422216596E-002  -3.1182619371935503E-007  -1.5591309685967764E-006
   3.2000000000000002E-003  -8.5291470866465089E-005   7.0867981293516930E-002  -4.0034976660715915E-007  -2.0017488330357967E-006
   3.4000000000000002E-003  -9.3413657601786713E-005   7.4525360852881944E-002  -5.0436547814614729E-007  -2.5218273907307351E-006
   3.6000000000000003E-003  -1.0192404511562343E-004   7.7791454726108364E-002  -6.2502323167292410E-007  -3.1251161583646188E-006
   3.8000000000000000E-003  -1.1081919808944579E-004   8.0621180950426349E-002  -7.6338839276646169E-007  -3.8169419638323070E-006
