   2.0000000000000001E-004   6.4426026993762359E-004  -7.8684989911343923E-006   1.4549483834779232E-005
   4.0000000000000002E-004   1.2626825935440381E-003  -3.5712816245893832E-005   2.8340911179925721E-005
   6.0000000000000006E-004   1.8502153083201618E-003  -9.6187674747237216E-005   4.1162391947278137E-005
   8.0000000000000004E-004   2.4030524088332365E-003  -2.0125723530816050E-004   5.2880348958990300E-005
   1.0000000000000000E-003   2.9187150476601598E-003  -3.6180325955718462E-004   6.3442070545967038E-005
   1.2000000000000001E-003   3.3964318110151926E-003  -5.8684933048886942E-004   7.2869040413933955E-005
   1.4000000000000000E-003   3.8377324841335054E-003  -8.8255988865210664E-004   8.1242085219421911E-005
   1.6000000000000001E-003   4.2470812567547336E-003  -1.2512648619944233E-003   8.8680545027046970E-005
   1.8000000000000002E-003   4.6323334064665043E-003  -1.6907778093458660E-003   9.5318471057746871E-005
   2.0000000000000000E-003   5.0048123655205686E-003  -2.1942183246199567E-003   1.0128115899945383E-004
   2.2000000000000001E-003   5.3788646916227067E-003  -2.7504420963678066E-003   1.0666509029483772E-004
   2.4000000000000002E-003   5.7708424617711430E-003  -3.3450610031309836E-003   1.1152364105042468E-004
   2.6000000000000003E-003   6.1975669836803072E-003  -3.9619330389489863E-003   1.1585988949747374E-004
   2.8000000000000000E-003   6.6744267788549638E-003  -4.5849331648994355E-003   1.1962672254801497E-004
   3.0000000000000001E-003   7.2133410898824668E-003  -5.1997803743599686E-003   1.2273341710998095E-004
   3.2000000000000002E-003   7.8208647905794824E-003  -5.7956862653110479E-003   1.2505710592149529E-004
   3.4000000000000002E-003   8.4967127308443365E-003  -6.3666036217613544E-003   1.2645711254196515E-004
   3.6000000000000003E-003   9.2329390396817153E-003  -6.9118939597080549E-003   1.2679007052450016E-004
   3.8000000000000000E-003   1.0013925809917707E-002  -7.4363047420172908E-003   1.2592398781679210E-004
   4.0000000000000001E-003   1.0817229694111972E-002  -7.9492447961438707E-003   1.2374989666370369E-004
   4.2000000000000006E-003   1.1615222906513919E-002  -8.4634514875184131E-003   1.2019032959939561E-004
   4.4000000000000003E-003   1.2377365936872033E-002  -8.9932277792123122E-003   1.1520445992680498E-004
   4.5999999999999999E-003   1.3072877413517802E-002  -9.5524682055885737E-003   1.0879022972152181E-004
   4.8000000000000004E-003   1.3673528642749849E-002  -1.0152684977100642E-002   1.0098408748020459E-004
   5.0000000000000001E-003   1.4156284937534860E-002  -1.0801206451561641E-002   9.1859053722104553E-005
   5.2000000000000006E-003   1.4505536243579569E-002  -1.1499680085814279E-002   8.1521763397302520E-005
   5.4000000000000003E-003   1.4714698145015699E-002  -1.2242994513402732E-002   7.0108971466117931E-005
   5.5999999999999999E-003   1.4787015811631313E-002  -1.3018743647311799E-002   5.7783830564832736E-005
   5.8000000000000005E-003   1.4735465803642102E-002  -1.3807371430028493E-002   4.4732113890214023E-005
   6.0000000000000001E-003   1.4581723835183828E-002  -1.4583131475612975E-002   3.1158484428874607E-005
   6.2000000000000006E-003   1.4354250485077193E-002  -1.5315949044273173E-002   1.7282893846806191E-005
   6.4000000000000003E-003   1.4085639423416516E-002  -1.5974174156847966E-002   3.3372020203408136E-006
   6.6000000000000000E-003   1.3809468724138884E-002  -1.6528067360855998E-002  -1.0437892838132886E-005
   6.8000000000000005E-003   1.3556985324702873E-002  -1.6953677849427813E-002  -2.3795562997383551E-005
   7.0000000000000001E-003   1.3354019846967310E-002  -1.7236586441188834E-002  -3.6485245122000565E-005
   7.2000000000000007E-003   1.3218552677513396E-002  -1.7374844612281792E-002  -4.8254919707030825E-005
   7.4000000000000003E-003   1.3159310771251740E-002  -1.7380415667392159E-002  -5.8853662589333776E-005
   7.6000000000000000E-003   1.3175655395074547E-002  -1.7278578834150553E-002  -6.8035017036875527E-005
   7.8000000000000005E-003   1.3258830705383121E-002  -1.7105105737459016E-002  -7.5561795475777036E-005
   8.0000000000000002E-003   1.3394412469242830E-002  -1.6901495357570274E-002  -8.1212806911250119E-005
   8.2000000000000007E-003   1.3565574052458403E-002  -1.6709024077323827E-002  -8.4791687243396111E-005
   8.4000000000000012E-003   1.3756624032949577E-002  -1.6562687087641741E-002  -8.6137517699703411E-005
   8.6000000000000000E-003   1.3956203415076212E-002  -1.6486188822384805E-002  -8.5136348269004421E-005
