   2.0000000000000001E-004  -2.5642059522312571E-008   2.8187626271119958E-003  -6.4105148805781486E-009   5.7835452246968741E-008   3.4714534786682756        3.6472158629895067E-008
   4.0000000000000002E-004  -9.7995084736125218E-008   2.9382805607134936E-003  -2.4614625133954464E-008   2.2463663254711289E-007   3.5537280053232783        1.4422545357149881E-007
   6.0000000000000006E-004  -2.1774972685329605E-007   3.4121390064077196E-003  -5.5112089501636869E-008   4.8287881472869914E-007   3.6552967237784459        3.1950559048915679E-007
   8.0000000000000004E-004  -3.9066972007716876E-007   4.2214577364227185E-003  -9.9885023117045979E-008   8.0691908853252395E-007   3.7640380733240320        5.5711667094601049E-007
   1.0000000000000000E-003  -6.2717442428458812E-007   5.3407699763432792E-003  -1.6231887123770981E-007   1.1660225481468933E-006   3.8669024569539601        8.5078540450293202E-007
   1.2000000000000001E-003  -9.4172841989141756E-007   6.7398150319958518E-003  -2.4709580217031556E-007   1.5279506979271081E-006   3.9515941325070276        1.1935697394388113E-006
   1.4000000000000000E-003  -1.3520789481939437E-006   8.3853417334993127E-003  -3.6006802167937573E-007   1.8627025586423393E-006   4.0080715465353975        1.5782676749400963E-006
   1.6000000000000001E-003  -1.8783848870905281E-006   1.0242737077855802E-002  -5.0811855682566297E-007   2.1459915156783464E-006   4.0297171952696846        1.9977845577920689E-006
   1.8000000000000002E-003  -2.5422799702921596E-006   1.2277330592073879E-002  -6.9901632606989190E-007   2.3620809686363303E-006   4.0140724932341776        2.4454246953001688E-006
   2.0000000000000000E-003  -3.3659087165930625E-006   1.4455275089690250E-002  -9.4127095582337413E-007   2.5056825225763203E-006   3.9630621670383670        2.9150844446840978E-006
   2.2000000000000001E-003  -4.3709669454462034E-006   1.6743964376022869E-002  -1.2439910312834927E-006   2.5827308575698375E-006   3.8826627013075692        3.4013376230101497E-006
   2.4000000000000002E-003  -5.5777709320747144E-006   1.9112013372409014E-002  -1.6167475319353586E-006   2.6099757339739324E-006   3.7820182869061534        3.8994184722812204E-006
   2.6000000000000003E-003  -7.0043714229466797E-006   2.1528889571491037E-002  -2.0694423711685105E-006   2.6134586913621936E-006   3.6720850146284838        4.4051206952511272E-006
   2.8000000000000000E-003  -8.6657220909886647E-006   2.3964337795862694E-002  -2.6121805005205311E-006   2.6260551021009283E-006   3.5639824201986361        4.9146413811057271E-006
   3.0000000000000001E-003  -1.0572907566735185E-005   2.6387772536302583E-002  -3.2551431741471928E-006   2.6843488361647742E-006   3.4673235808345231        5.4244043034079981E-006
   3.2000000000000002E-003  -1.2732434559694298E-005   2.8767814588490075E-002  -4.0084598334063184E-006   2.8251584819802646E-006   3.3888408961751191        5.9308970180506604E-006
